LMP,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl
2,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Girl,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy
3,Girl,Boy,Girl,Girl,Boy,Girl,Boy,Boy,Boy,Girl,Boy,Girl,Girl,Boy,Boy,Boy,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy
4,Boy,Girl,Boy,Girl,Girl,Boy,Boy,Girl,Girl,Boy,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Boy,Boy,Girl,Boy,Girl,Boy,Girl
5,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Boy,Girl
6,Boy,Boy,Boy,Girl,Girl,Girl,Boy,Boy,Boy,Girl,Girl,Boy,Girl,Girl,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Girl
7,Boy,Boy,Boy,Girl,Girl,Boy,Boy,Girl,Girl,Boy,Boy,Boy,Girl,Girl,Girl,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl,Boy
8,Boy,Boy,Boy,Girl,Boy,Girl,Girl,Boy,Boy,Boy,Boy,Boy,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Boy,Girl
9,Boy,Boy,Boy,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Boy,Girl,Girl,Girl,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Boy
10,Boy,Boy,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Girl,Girl,Girl,Girl,Girl,Girl,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl
11,Boy,Girl,Boy,Girl,Girl,Boy,Girl,Boy,Girl,Girl,Girl,Girl,Boy,Girl,Girl,Girl,Boy,Boy,Boy,Girl,Boy,Girl,Boy,Girl,Boy,Boy,Girl,Boy
12,Boy,Girl,Boy,Girl,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Girl,Boy,Boy,Boy,Boy,Boy,Boy,Boy,Boy,Girl,Girl,Girl,Boy,Girl,Boy,Girl,Boy
